Initial number,Requirement,Context (Keywords),Name of Doc,Sec / Not Sec,Labeled by,Comments,
4985,Each user shall be required to log on with a unique user name and password before using the system.,Security,2005 - nenios.html,1,Вячеслав,,
4871,Each user shall have a set of system access properties that defines the user’s privileges within the system.,Security,2002 - evla back.pdf,1,Вячеслав,,
1154,"Each wind power plant shall have defined the total set of data, the naming, the type and de- fault value of the data according to this specification.",Information Structure,elsfork.pdf,0,Кирилл,,
6107,"Each window of the diagnostic tool shall display an animated graphical feature indicating the status, whether active or not, of the diagnostic processing.",Usability,2003 - pnnl.pdf,0,Руфина,,
1443,Edges in the displayed graph correspond to the parent- child relationship between nodes in the SDT.,Behavioral requirements,hats.pdf,0,Кирилл,,
5326,"Elements of the report should be: • Source of benefit (aquifer or surface water); • The locations of the alternative sources; • What permits are using the quantities generated by the projects, and what project they are getting the water from.",Functional Requirements,water use.pdf,0,Василий,,
3386,ELSS must only be supplied for use at sea and loaded onto an onboard system and is not to be provided for onshore use by agents or representatives.,Specific High Level Requirements,fishing.pdf,0,Кирилл,,
3379,"ELSS must retain all logbook reports and any corrections on the system at least until the end of each trip, i.e. on submission of the electronic landing declaration or of a transhipment report.",Specific High Level Requirements,fishing.pdf,0,Кирилл,,
5688,"Email Services – As a secondary delivery protocol for alerts, data, and other information from the system, email server applications will be required to support system functionality.",Software requirements,stewards.pdf,0,Василий,,
3161,Emergency management and public safety personnel shall be able to use the Clarus system to obtain environmental conditions.,Organizational requirements,clarus high.doc,0,Кирилл,,
6342,EMS responses shall include metadata that meets the requested metadata query filtering specifications.,Environmental Metadata Services (EMS),2005 - clarus low.pdf,0,Руфина,,
6340,EMS shall be able to distribute metadata in a comma separated value ASCII format.,Environmental Metadata Services (EMS),2005 - clarus low.pdf,0,Руфина,,
6327,EMS shall be able to provide sensor equipment metadata in response to a request.,Environmental Metadata Services (EMS),2005 - clarus low.pdf,0,Руфина,,
6322,EMS shall disseminate metadata in response to polling.,Environmental Metadata Services (EMS),2005 - clarus low.pdf,0,Руфина,,
6324,EMS shall disseminate metadata using standard Internet protocols.,Environmental Metadata Services (EMS),2005 - clarus low.pdf,0,Руфина,,
6331,EMS shall log metadata transactions.,Environmental Metadata Services (EMS),2005 - clarus low.pdf,0,Руфина,,
6329,EMS shall respond to queries for metadata within five minutes.,Environmental Metadata Services (EMS),2005 - clarus low.pdf,0,Руфина,,
6343,EMS shall respond to queries returning no results with a message stating that no results matching that query are available.,Environmental Metadata Services (EMS),2005 - clarus low.pdf,0,Руфина,,
6338,EMS shall transfer data concurrently.,Environmental Metadata Services (EMS),2005 - clarus low.pdf,0,Руфина,,
5053,"Enable an appointed attorney to capture the date and time of the first in person visit with the defendant, as appropriate.",Use Case Specifications,2004 - ijis.doc,0,Вячеслав,,
5052,Enable an appointed attorney to review appointments and capture the date and type of first contact with the defendant no later than the end of the first working day after the date of the appointment.,Use Case Specifications,2004 - ijis.doc,0,Вячеслав,,
5050,Enable law enforcement agencies to be notified that the request for counsel has been denied within 24 hours of the denial.,Use Case Specifications,2004 - ijis.doc,0,Вячеслав,,
5047,Enable law enforcement agencies to capture defendant and incident information along with supporting paper documents within 48 hours of arrest.,Use Case Specifications,2004 - ijis.doc,0,Вячеслав,,
5048,Enable magistrates to electronically review request(s) for counsel and submit request(s) for counsel within 24 hours of the indigency hearing.,Use Case Specifications,2004 - ijis.doc,0,Вячеслав,,
5051,Enable the appointed attorney and Defendant to be notified that an appointment has been made within 24 hours of the appointment.,Use Case Specifications,2004 - ijis.doc,0,Вячеслав,,
5055,"Enable the appointed attorney and Office of Attorney Appointments to be notified that the District Attorney has accepted/rejected the incident and whether charges where added, removed or modified.",Use Case Specifications,2004 - ijis.doc,0,Вячеслав,,
5054,Enable the Office of Attorney Appointments to be notified when first contact by an appointed attorney is not made by the of the first working day after the date of the appointment.,Use Case Specifications,2004 - ijis.doc,0,Вячеслав,,
5056,Enable the Office of Attorney Appointments to produce comprehensive reporting measurements that reflect compliance with the Texas Fair Defense Act.,Use Case Specifications,2004 - ijis.doc,0,Вячеслав,,
5049,"Enable the Office of Attorney Appointments to review request(s) for counsel and process request(s) for counsel as soon as possible, but not later than the end of the first working day after the date on which the Office of Attorney Appointments receives the request for appointment of counsel.",Use Case Specifications,2004 - ijis.doc,0,Вячеслав,,
4032,Enables the user to choose a specific application to be used.,External Interface,virtual ed.doc,0,Кирилл,,
4031,"Enables the user to select the pertinent class, each class is highlighted for ease of use.",External Interface,virtual ed.doc,0,Кирилл,,
143,"End User Mode: Portion of XS services shall be used by various classes of users: data consumers, data and database managers, network information infrastructure resource managers.",Required States and Modes,dii.htm,0,Кирилл,,
3317,Enhance the WARC browser to display a manifest of WARC files and their locations.,Reporting Application,warc III.pdf,0,Кирилл,,
3316,Enhance the WARC browser to display aggregated WARCs summaries in its UI.,Reporting Application,warc III.pdf,0,Кирилл,,
3824,Ensures data integrity for version upgrades and format migration.,Administration,nlm.doc,0,Кирилл,,
6125,Entering a file name shall cause the permanent storage of the modified parameters and their immediate use by the diagnostic operations after confirmatory responses by the user.,Interfaces,2003 - pnnl.pdf,0,Руфина,,
132,"Environmental Mode: This is the real-time operations that must react to varying degrees of readiness to full scale wartime operations such as crisis planning with the use of heterogeneous data types and sources, transfer capabilities, data management services.",Required States and Modes,dii.htm,0,Кирилл,,
3742,Error message feature is configurable for all types of errors.,Ingest,nlm.doc,0,Кирилл,,
4927,"Error messages will be stamped with their discovery time, control messages will be stamped with their generation time.",Performance Requirements,2002 - evla corr.pdf,0,Вячеслав,,
4820,"Error Report – error number (translatable into text error message), error source, error rates (as applicable), and time stamp.",Data Construct Specifications,2002 - evla back.pdf,0,Вячеслав,,
1505,Errors shall not be displayed until requested by the user.,Behavioral requirements,hats.pdf,0,Кирилл,,
5592,"ESPC Operations shall provide an interface between NDE and the NPOESS Mission Management Center (MMC) such that 100% of the NDE inquiries to the MMC and NDE replies to MMC requests are received by the MMC in a time not to exceed that specified in the ICD, and that 100% of the notifications and inquiries from the MMC to NDE are received by NDE in a time not to exceed that specified by the ICD.",External interface requirements,nde.pdf,0,Василий,,
5647,Establish a database in support of CEAP that will house the collective data assembled or generated during research activities.,Database,stewards.pdf,0,Василий,,
5060,Establish a map which contains a bias for every CCD column which will be subtracted from every row in Normal Timing Mode.,Overview,2001 - telescope.pdf,0,Вячеслав,,
5059,Establish a map which contains a bias for every CCD pixel will be subtracted from every image.,Overview,2001 - telescope.pdf,0,Вячеслав,,
5379,Establish relationships between inputs (i.e. rainfall) and pumpage data.,Functional Requirements,water use.pdf,0,Василий,,
3848,"Establishes and maintains NLM Digital Repository best policies, practices and procedures, including those outlined in Sections 6.1 and 6.2.",Administration,nlm.doc,0,Кирилл,,
3849,Establishes workflows and business processes for NLM Digital Repository functions.,Administration,nlm.doc,0,Кирилл,,
1228,"Establishment, maintenance and release of connections/associations are to be handled by the communication system.",Basis,elsfork.pdf,0,Кирилл,,
825,"Even though memory scrubbing is performed locally and the errors would not be congruent, the recording of errors shall (3.3.8.10) be congruent.",Memory Management,nasa x38.doc,0,Кирилл,,
332,Every error that occurs during program execution can be classified into two types - fatal and nonfatal errors.,Non-functional requirements,multi-mahjong.pdf,0,Кирилл,,
1578,"Every time a job is scheduled for execution on a host, this feature of Libra updates the cluster status. This action is also performed when a job ends and is removed from the cluster.",Functionality. Update Cluster Status,libra.doc,0,Кирилл,,
3402,"Every time you try to edit in any way, any partition, a confirmation dialog appears which warns about the potential of data loss. You can either click Cancel or Apply.",External Interface Requirements,gparted.pdf,0,Кирилл,,
5518,Every user account is protected with a personal password.,Security,vub.pdf,1,Василий,,
3431,"Every user has administrator rights and full access which are given from the start of the program, as you are logged in as root.",Security Requirements,gparted.pdf,1,Кирилл,,
4139,"Example: staff can obtain value of all items with status of longoverdue, or value of all dvds in children's collection, or value of entire collection.",Financial Records,2051 - library.doc,0,Кирилл,,
3739,Examples of conversions may include: upgrading the version of software being submitted; converting one program to another,Ingest,nlm.doc,0,Кирилл,,
1325,"Examples of information available from an operating system include indications that a specified file does ot exist, that a file cannot be opened due to file protection violations, or that errors occurred during I/O operations.",Software Interface,hats.pdf,0,Кирилл,,
4099,Examples of periodic reports: bibliographic records with holds; items that have not been checked out in X days; item-level holds; items with invalid item type; in-transit items with outstanding hold; items that have been in-transit for more than X days; items that are the last copy in the system; items with a long call number; missing items; bibliographic records with no item records; patrons with invalid home library.,General,2011 - library.doc,0,Кирилл,,
923,"Except for high level features, most of the above mentioned adaptivity specifications primarily rely on multimodality related features.",Functional specs,beyond.pdf,0,Кирилл,,
1600,Exhaustive searches of the entire set of combinations of jobs will not be done. Heuristics will be developed for this scheduling problem.,Design Constraints,libra.doc,0,Кирилл,,
3264,"Extraction (this feature is described in previous chapters) of the content of encrypted(locked) archives through PeaZip, shouldn’t be allowed without inserting the correct password and (if existing) keyfile for authentication.",Security Requirements,peazip.pdf,1,Кирилл,,
684,"Fabrication and assembly of the boards shall (3.2.3.1.2.14) meet NAS 5300.4(3L), NAS 5300.4(3J-1), NHB5300.4(3A-2), IPC 275, IPC 6011, IPC 6012 and GSFC-S-312-P-003.",Flight NE Physical Characteristics,nasa x38.doc,0,Кирилл,,
4822,"Failure Report – internal system component (e.g., disk drive, processors, processes, and networks) failure number (translatable into text error message) and time stamp.",Data Construct Specifications,2002 - evla back.pdf,0,Вячеслав,,
4327,Failure to receive a valid status after a configurable number of retries shall be considered a device failure.,Functional Requirements,2004 - rlcs,0,Айдар,,
466,Fault Detection and Isolation (FDI) provides the capability to detect and diagnose faults within FCC hardware.,Memory Management Services,nasa x38.doc,0,Кирилл,,
718,Fault Tolerant System Services (FTSS) software shall (3.3.1.1) use VxWorks Version 5.4 as the Operating System.,Programming Language and Operating System,nasa x38.doc,0,Кирилл,,
1084,Faults in the communication system shall not cause malfunction of an individual wind turbine.,General,elsfork.pdf,1,Кирилл,,
469,"FDI CBIT provides the facilities for the detection and diagnosis of faults on FCPs during all operational phases. In general, these tests execute system-wide tests using the fault tolerance characteristics of the FTPP architecture.",Memory Management Services,nasa x38.doc,0,Кирилл,,
468,"FDI IBIT provides the facilities for the detection and diagnosis of faults during system initialization (at power on or CPU reset) on FCPs, ICPs, PMC 1553s, and MPCCs.",Memory Management Services,nasa x38.doc,0,Кирилл,,
775,"FDIR shall (3.3.5.2) receive this information and, after two consecutive missed “heartbeats,” conclude that the ICP is failed.","Fault Detection, Identification, and Recovery",nasa x38.doc,0,Кирилл,,
776,FDIR shall (3.3.5.3) report the total FCC status to the Vehicle/Mission Manager when requested to do so by the Vehicle/Mission Manager.,"Fault Detection, Identification, and Recovery",nasa x38.doc,0,Кирилл,,
4363,Field devices shall receive respond to commands from the RLCS within 12 seconds of the command confirmation being issued by the operator using a keyboard (or other input device).,Performance,2004 - rlcs,0,Айдар,,
2913,"Fields are only editable if user is a Manager, Director or Inventory Administrator.",User Interface,inventory-2.0.pdf,1,Кирилл,,
4038,File transfer feature enables the user to have the ability to manage a private temporary hosting space.,External Interface,virtual ed.doc,0,Кирилл,,
1134,Finally the operator need to know the status of the communication system to be able to rely on the presented data.,Time critical functions,elsfork.pdf,0,Кирилл,,
990,"Finally we concluded that the prototype met its functional requirements, but it was too static.",Functional specs,beyond.pdf,0,Кирилл,,
6021,"Finally, a utility should be available to report errors.",Overall Description ,2004 - colorcast.pdf,0,Руфина,,
861,"Finally, for software exceptions only, the FTPP system shall (3.3.12.3) then “jump back” to the initialization point for the offending task.",Exception Handling,nasa x38.doc,0,Кирилл,,
3266,"Finally, no data remains from data that have been selected to be securely deleted should be left in the storing area of the computer system after the end of the procedure of secure deletion (described in previous chapter), in case of selection of this feature.",Security Requirements,peazip.pdf,1,Кирилл,,
5085,"Finally, the dynamic array should be updated (i.e. DT_HASH, DT_STRTAB, DT_SYMTAB, DT_STRSZ, and DT_SYMENT).",Porting Open Watcom C Compiler and Linker to Linux,2004 - watcom.pdf,0,Вячеслав,,
5103,"Finally, the dynamic array should be updated (PLTGOT).",Porting Open Watcom C Compiler and Linker to Linux,2004 - watcom.pdf,0,Вячеслав,,
5112,"Finally, the dynamic array should be updated (PLTRELSZ, PLTREL, and JMPREL).",Porting Open Watcom C Compiler and Linker to Linux,2004 - watcom.pdf,0,Вячеслав,,
4143,Financial information can be updated easily.,Financial Records,2055 - library.doc,0,Кирилл,,
4141,"Fines, charges, waivers, and ecommerce transactions are attached to patron and item records.",Financial Records,2053 - library.doc,0,Кирилл,,
3979,First page in the coordinator domain.,Interface,viper.doc,0,Кирилл,,
5928,"First, it should be present in the form of a search box and a “Search” button on the top or bottom of every page.",Specific Requirements,puget sound.pdf,0,Василий,,
900,Firstly the solid user interface requires high standards in ergonomics and robustness.,Functional specs,beyond.pdf,0,Кирилл,,
683,Flight hardware shall (3.2.3.1.2.13) be fabricated using radiation-hardened and/or radiation tolerant components.,Flight NE Physical Characteristics,nasa x38.doc,0,Кирилл,,
1231,Flow control and error control may be provided.,Basis,elsfork.pdf,0,Кирилл,,
5487,Follow District change management standards.,Supportability,water use.pdf,0,Василий,,
5490,Follow District programming standards.,Supportability,water use.pdf,0,Василий,,
837,"Following a processor recovery, during which time is frozen, the FTSS software shall (3.3.10.10) account for the frozen time and update MET to its proper value.",Time Management,nasa x38.doc,0,Кирилл,,
844,"Following a processor recovery, during which time is frozen, the FTSS software shall (3.3.10.17) account for the frozen time and update SEP to its proper value.",Time Management,nasa x38.doc,0,Кирилл,,
771,"Following a task overrun, the scheduler shall (3.3.4.17) provide an application programmer's interface call which specifies which task was running within the rate group which has overrun.",Scheduler,nasa x38.doc,0,Кирилл,,
599,"Following power being applied to all five chassis, the FTPP system shall (3.1.7) become operational in at most 1.5 minutes.",FTPP System Requirements,nasa x38.doc,0,Кирилл,,
2891,"For a department with no subcategories, the department name is a hyperlink to the view of the items in that department.",User Interface,inventory-2.0.pdf,0,Кирилл,,
3475,"For a given month and year, a user shall be able to create or modify a month plan that specifies for each day, for up to four daily time periods, the environmental parameter settings (temperature, humidity, contact sensors and power switches).",DH Planning and Reporting Requirements,home 1.3.pdf,0,Кирилл,,
3477,"For a given month and year, in the past two years, DigitalHome shall be able to provide a report on the management and control of the home.",DH Planning and Reporting Requirements,home 1.3.pdf,0,Кирилл,,
798,"For a permanent NE failure, FDIR shall (3.3.5.23) mask the failed NE.","Fault Detection, Identification, and Recovery",nasa x38.doc,0,Кирилл,,
2902,"For a Stock Item category, the category name is a hyperlink to a view of the details for that Stock Item, including the current quantity on hand.",User Interface,inventory-2.0.pdf,0,Кирилл,,
4651,"For a thick-client portion of Pontis, an installer program will be provided to install Pontis on the user’s computer.",Functional Requirements,2005 - pontis,0,Айдар,,
799,"For a transient NE failure, FDIR shall (3.3.5.24) mask the failed NE.","Fault Detection, Identification, and Recovery",nasa x38.doc,0,Кирилл,,
2903,For a Under $5 category the category name is not a hyperlink.,User Interface,inventory-2.0.pdf,0,Кирилл,,
2901,"For a Unique Item category, the category name is a hyperlink to a view of the items under that category.",User Interface,inventory-2.0.pdf,0,Кирилл,,
707,"For acceptance testing, the flight NE shall (3.2.3.1.3.12.1.3) meet the following temperature requirement while operating, 32 F to 132 F (0 C to 55.6 C) at the card edge.",Temperature Range,nasa x38.doc,0,Кирилл,,
4282,"For alarm status, the GUI shall also issue an audible alarm, and the icon shall be different from the okay status for that device. The visual alarm shall include a change of color for the affected device.",Functional Requirements,2004 - rlcs,0,Айдар,,
1271,"For any operation where the user is prompted to select from a list, the user shall be able to cancel the operation.",User Interface,hats.pdf,0,Кирилл,,
1171,For averaged values the accuracy of the start time of the period shall be better than 10 ms.,Analogue Signals,elsfork.pdf,0,Кирилл,,
897,"For better extensibility, context engines need to be implemented rather than interfaces and the method of choice are neural networks.",Functional specs,beyond.pdf,0,Кирилл,,
2900,"For categories with subcategories, the category name is a hyperlink to the view of the subcategories.",User Interface,inventory-2.0.pdf,0,Кирилл,,
2890,"For departments with subcategories, the department name is a hyperlink to the view of the department subcategories.",User Interface,inventory-2.0.pdf,0,Кирилл,,
1465,"For displayed graph windows, the keyboard cursor location shall move according the following rules: A left arrow key moves the cursor to the next unhidden node to the left; The node to the left does not need to be a sibling of the current node, but it does need to be at the same level as the current node; If there are no nodes to the left, the cursor does not move, A right arrow key moves the cursor to the next unhidden node to the right. The node to the right does not need to be a sibling of the current node, but it does need to be at the same level as the current node; If there are no nodes to the right, the cursor does not move. An up arrow key moves the cursor to the closest ancestor that is not hidden. If there is no such node, the cursor does not move. An down arrow key moves the cursor to the leftmost, nearest descendant that is not hidden; If there is no such node, the cursor does not move.",Behavioral requirements,hats.pdf,0,Кирилл,,
4110,"For each genre and format of material, ability to compare the percentage of total circulations, the percentage of the collection, and the percentage of total shelf space that genre/format comprises.",Inventory Control,2022 - library.doc,0,Кирилл,,
3462,"For each humidistat, up to twenty-four one hour settings per day for every day of the week can be scheduled.",Humidistat Requirements,home 1.3.pdf,0,Кирилл,,
1001,"For each link defined within the Center: network identifier, link identifier, data type, data type description, delay, travel time, volume, speed, density, occupancy.",Traffic Conditions Interface Requirements,ctc-network.pdf,0,Кирилл,,
818,"For each mission mode, the congruent and non-congruent memory boundaries shall (3.3.8.1) be known and fixed.",Memory Management,nasa x38.doc,0,Кирилл,,
993,"For each roadway network it maintains, the Center shall provide the following information: network identifier, network name, number of links in the network, number of nodes in the network, network identifier, network name, number of links in the network, number of nodes in the network, list of link data, list of node data.",Functional specs,beyond.pdf,0,Кирилл,,
3450,"For each thermostat, up to twenty-four one hour settings per day for every day of the week can be scheduled.",Thermostat Requirements,home 1.3.pdf,0,Кирилл,,
4090,"For example, front-line staff could set the call number range for a weeding report or add or remove designated display fields from a pick list, but couldn’t alter the template to display deleted items.",General,2009 - library.doc,0,Кирилл,,
1273,"For example, given a transformation language program X.tlp, the file X.tlp.parsed is generated when the parser is executed.",User Interface,hats.pdf,0,Кирилл,,
4105,"For example, how quickly is a particular book returned, on average? How likely is a particular book to be renewed? What percent of check-outs at a particular branch are renewals?",General,2017 - library.doc,0,Кирилл,,
532,"For example, if Redundancy Management is at 1 minute in its 1.5 minute wait for a channel after the first power cycle request, and alignment is not allowed, when alignment is subsequently allowed Redundancy Management will wait another half minute and then try the next power cycle request.",Memory Management Services,nasa x38.doc,0,Кирилл,,
3209,"For example, loan rules may prohibit patrons from checking out items with an unavailable status, e.g. an item with a triggered hold for another patron or an item that is already checked out to another patron.",Systems: Business Rules,library.pdf,1,Кирилл,,
3205,"For example, requesting rules may prohibit patrons from placing holds on on-order CD titles, but allow patrons to place holds on other on-order titles.",Systems: Business Rules,library.pdf,1,Кирилл,,
5138,"For example, the Seller may instruct the Buyer to return the goods, await collection of the goods (by the Seller or his carrier) or destroy the goods.",Documents,2004 - e-procurement.rtf,0,Вячеслав,,
5046,"For example, using appropriate sub-scenes in the main Flash game to split up the code will allow for easy alteration at a later date.",Quality Attributes,2001 - space fractions.pdf,0,Вячеслав,,
2854,"For external users - The system must be available beyond normal operating hours to accommodate website use – Inventory listing, wish list management and online purchases.",Availability,inventory-2.0.pdf,0,Кирилл,,
416,"For hardware exceptions and reserved exceptions, the FTSS shall [SRS276] make the error type and its context data available to the application, then return from the exception handler to the task that was running when the exception occurred.",CSCI Capability Requirements,nasa x38.doc,0,Кирилл,,
859,"For hardware exceptions, the FTPP system shall (3.3.12.5) “handle” the exception by making the error and its context data available to the application and then returning from the exception handler.",Exception Handling,nasa x38.doc,0,Кирилл,,
2853,"For internal users: Donation/acquisition processing - The system must be available during normal Construction Junction operating hours, Sales processing - The system must be available during normal Construction Junction operating hours, Inventory management - The system must be available beyond normal operating hours to accommodate inventory management operations.",Availability,inventory-2.0.pdf,0,Кирилл,,
2802,For items that are not available for online purchase the website should display a comment that reads 'You can purchase this item over the phone or at Construction Junction'.,e-Commerce Integration,inventory-2.0.pdf,0,Кирилл,,
5324,"For mitigation of MFL impacts, report on the improvement percentage amount, where it was located, the cost, how the decrease was obtained and what impacts it had.",Functional Requirements,water use.pdf,0,Василий,,
5512,For more information about the reliability of the PMS and the therefore used testing processes see the SQAP [12] and STD [13] of SE1.,Reliability,vub.pdf,0,Василий,,
1143,"For most data it must be possible to restore information, including the sequence of events.",Reliability,elsfork.pdf,1,Кирилл,,
5723,For noise generation those effects should be user-selectable (they can be added or not and the values should be given by users).,General description and requirements,gaia.pdf,0,Василий,,
4664,"For normal users, the configurability of the system via the interface will be limited to changing the parameters used to perform the various analyses and modeling functions.",Functional Requirements,2005 - pontis,0,Айдар,,
5093,"For ORL, introduce new constants in orlglobl.h, e.g.: ORL_RELOC_TYPE_GOT_32, ORL_RELOC_TYPE_GOT_OFF, ORL_RELOC_TYPE_GOT_REL.",Porting Open Watcom C Compiler and Linker to Linux,2004 - watcom.pdf,0,Вячеслав,,
418,"For other software exceptions, regardless of whether or not a user written exception handling routine is invoked, if an exception occurs, the scheduler shall [SRS173], after making available the error type and context data to the application, resume processing (after the exception-handling routine runs, if provided) at the initialization point of the offending task.",CSCI Capability Requirements,nasa x38.doc,0,Кирилл,,
3254,"For PeaZip’s installation and use, requirements are almost zero.",External Interface Requirements,peazip.pdf,0,Кирилл,,
951,For performance reasons this VM is closely matched with the firmware.,Functional specs,beyond.pdf,0,Кирилл,,
5337,"For permits that have multiple withdrawal points, we need the ability to track ownership of specific withdrawal points over time.",Functional Requirements,water use.pdf,0,Василий,,
412,"For purposes of handling exceptions, exceptions are defined as either software or hardware exceptions.",CSCI Capability Requirements,nasa x38.doc,0,Кирилл,,
691,"For qualification testing, the flight NE shall (3.2.3.1.3.1.4) meet the following temperature requirement while operating, 12 F to 152 F (-11 C to 66.7 C) at the card edge.",Temperature,nasa x38.doc,0,Кирилл,,
694,"For qualification testing, the sweep time per axis shall (3.2.3.1.3.2.1.2) be 3 minutes, 14.1 g-rms overall.",Random Vibration,nasa x38.doc,0,Кирилл,,
860,"For reserved exceptions, the FTPP system shall (3.3.12.6) “handle” the exception by making the error and its context data available to the application and then returning from the exception handler.",Exception Handling,nasa x38.doc,0,Кирилл,,
199,"For returning customers, the system shall validate 'existing' credit card in system after each log in.",Efficiency Requirements,gamma j.pdf,0,Кирилл,,
419,"For software exceptions occurring during Startup, FTSS shall [SRS301] issue a VME reset to the FCR in which the exception occurred.",CSCI Capability Requirements,nasa x38.doc,0,Кирилл,,
417,"For software exceptions occurring within the FTSS, the FTSS shall [SRS277] make the error type and its context data available to the application, then restart the offending task at its beginning.",CSCI Capability Requirements,nasa x38.doc,0,Кирилл,,
858,"For software exceptions, the FTPP system shall (3.3.12.2) then transfer control to a user specified exception handling routine, if one is provided.",Exception Handling,nasa x38.doc,0,Кирилл,,
5720,For source generation GOG has 2 main options available: Universe Model from GaiaSimu or a Object Input Catalogue,General description and requirements,gaia.pdf,0,Василий,,
2964,"For Stock Items, all fields are pre-set and disabled, and cannot be changed.",User Interface,inventory-2.0.pdf,0,Кирилл,,
2968,"For stock items, the price is pre-set and the user cannot change it.",User Interface,inventory-2.0.pdf,0,Кирилл,,
4356,"For system login purposes, the hash function shall will also be used to encrypt user passwords.",Functional Requirements,2004 - rlcs,1,Айдар,,
1464,"For text windows, the keyboard cursor location shall move according the following rules: A left arrow key moves the cursor to the left one character, If the cursor is at the beginning of a line, the cursor is moved to the end of the previous line; If there is no previous line, the cursor does not move. A right arrow key moves the cursor to the right one character; If the cursor is at the end of a line, the cursor is moved to the first character of the next line. If there is no line after the current line, the cursor is not moved; An up arrow key moves the cursor up one line; If there is text in the same column, the column does not change; If there is no text in the column above the current cursor location, the cursor is moved to the end of the previous line. (A space is considered text.) A down arrow key moves the cursor down one line; If there is text in the same column, the column does not change. If there is no text in the column below the current cursor location, the cursor is moved to the end of the previous line. (A space is considered text.)",Behavioral requirements,hats.pdf,0,Кирилл,,
790,"For the first permanent FCP failure, FDIR shall (3.3.5.30) degrade the redundancy level of the FCP from 4 to 3.","Fault Detection, Identification, and Recovery",nasa x38.doc,0,Кирилл,,
598,"For the FTPP system (5 NEs per flight system), the contractor shall (3.1.2) deliver the following end products: the FTPP spare hardware shall (3.1.28) include one (1) radiation hardened FTPP set (5 NEs) and three (3) individual NEs including all optical connects, cables, and required accessories which are flight certified to meet the requirements specified herein for the X-38 space flight vehicles, the contractor shall (3.1.3) develop a preliminary design for the FTPP Architecture, this system shall (3.1.4) provide real time redundancy and fault tolerance among the four FCCs and the NEFU, the FTPP system shall not (3.1.5) solely exceed these timing requirement budgets, in the presence of a maximum 2.5 second power-on skew, the FTPP system shall (3.1.6) be capable of completing FCC system power-up and initialization without synchronization errors.",FTPP System Requirements,nasa x38.doc,0,Кирилл,,
3408,"For the GParted Live to run, you will need a PC (regardless of its operating system, it can be Windows or Linux) or Mac, with or without an operating system.",External Interface Requirements,gparted.pdf,0,Кирилл,,
812,"For the highest rate group tasks (i.e., tasks that can not be preempted), Immediate Message Services shall (3.3.6.11) also be provided.",Communications,nasa x38.doc,0,Кирилл,,
1159,"For the HMI such information shall be contained in the device using standard readable text, such as ASCII or Unicode (UTF16) (at least optional in the language of the opera- tor).",Information Structure,elsfork.pdf,0,Кирилл,,
519,"For the NEFU, if errors are identified after the processor has been masked out, and if at least 4 NEs are still active, the NE shall [SRS283] be removed from the configuration and recovery will be attempted.",Memory Management Services,nasa x38.doc,0,Кирилл,,
517,"For the NEFU, if the first failure is diagnosed, Redundancy Management shall [SRS245] issue a configuration update to mask out the failed processor.",Memory Management Services,nasa x38.doc,0,Кирилл,,
950,For this aspect we have chosen to add/implement a kind of virtual machine which performs the interaction between the UI-Code and the effective hardware/firmware.,Functional specs,beyond.pdf,0,Кирилл,,
1510,"For this purpose, the corresponding text is all the text that corresponds to terminal nodes of the SDT that are descendants of the SDT nodes that correspond to the selected display nodes.",Behavioral requirements,hats.pdf,0,Кирилл,,
5713,"For this system, availability will be concerned with the reliability of the software and network components. Intentional “denial of service attacks” is not foreseen as a significant concern.",Security Requirements,stewards.pdf,1,Василий,,
2966,"For unique and stock items, the system makes pricing recommendations to the user on the item entry screen (see Suggest Item Price)",User Interface,inventory-2.0.pdf,0,Кирилл,,
2965,"For Unique Items, all fields with values defined when the Unique Item category was created are preset and cannot be changed.",User Interface,inventory-2.0.pdf,0,Кирилл,,
2967,"For unique items, user can accept the suggested price, enter a different one, or leave it blank.",User Interface,inventory-2.0.pdf,0,Кирилл,,
5101,"For unresolved external symbols, GOT entries are needed as well.",Porting Open Watcom C Compiler and Linker to Linux,2004 - watcom.pdf,0,Вячеслав,,
35,Frequently-executed System transactions must be designed so that they can be completed with a small number of interactions (e.g. mouse clicks).,Ease of Use,cctns.pdf,0,Кирилл,,
991,From our hardware development and customer requirements we had learned that all have very specific needs concerning not only on User Interface but also real Hardware Interfacing to several peripherals.,Functional specs,beyond.pdf,0,Кирилл,,
525,"From the time that the FCR failure has been identified, if the components of the FCR are recoverable and alignment is permitted, to the time the FCR is recovered, shall [SRS205] be no more than 1.5 minutes.",Memory Management Services,nasa x38.doc,0,Кирилл,,
606,"From the time that the NE failure has been identified, and the NE is recoverable, to the time the NE is recovered shall (3.1.11) be no more than 1.5 minutes.",FTPP System Requirements,nasa x38.doc,0,Кирилл,,
473,FTSS IBIT executes on the Flight Control Processors (FCPs) at system initialization.,Memory Management Services,nasa x38.doc,0,Кирилл,,
582,FTSS object modules linked to the application on the four FCPs shall [SRS166] be identical.,Computer Software Requirements,nasa x38.doc,0,Кирилл,,
865,"FTSS services shall (3.3.15) provide an API call which provides the capability to close and delete all communication mechanisms delete all rate groups, and suspend and delete all tasks.",Power Down,nasa x38.doc,0,Кирилл,,
855,FTSS shall (3.3.11.8) provide an API call which allows the application to specify which MPCC channels in a C&T FCR should be used for telemetry and/or command reception.,Input/Output Services,nasa x38.doc,0,Кирилл,,
